"Organization Group Name","Location Group Path"
TreeHouseFoods,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / TreeHouseFoods"
"CIS-BankofAmerica","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-BankofAmerica"
"CIS-BECU","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-BECU"
"CIS-Aryzta","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Aryzta"
"CIS-Ares","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Ares"
"CIS-BGIM","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-BGIM"
"CIS-Anthem","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Anthem"
"CIS-Alcon","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Alcon"
"CIS-WPH","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-WPH"
"CIS-AutoPlus","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-AutoPlus"
"CIS-Aveva","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Aveva"
DPG,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / DPG"
"CIS-Conagra","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Conagra"
Dentsply,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Dentsply"
"CIS-PhilAm","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-PhilAm"
"CIS-Xylem","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Xylem"
"CIS-WPPJWTGTB","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-WPPJWTGTB"
"CIS-USG","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-USG"
"CIS-Brookfield","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Brookfield"
"CIS-Canon","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Canon"
"CIS-USSteel","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-USSteel"
"CIS-Newell","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Newell"
"CIS-Byram","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Byram"
"CIS-Cision","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Cision"
"CIS-Voya","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Voya"
"CIS-WAM","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-WAM"
"CIS-WilliamBlair","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-WilliamBlair"
"CIS-CACIBParis","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-CACIBParis"
"CIS-Carlsberg","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Carlsberg"
"CIS-BusinessPlatform","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-BusinessPlatform"
"CIS-RLS","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-RLS"
"CIS-Wesco","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Wesco"
"CIS-CIOX","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-CIOX"
"CIS-Catalina","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Catalina"
"CIS-MTBank","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-MTBank"
"CIS-UnitedBiscuits","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-UnitedBiscuits"
"CIS-Starwood","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Starwood"
"CIS-WesternUnion","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-WesternUnion"
"CIS-WeWork","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-WeWork"
"CIS-MedPro","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-MedPro"
"CIS-GlaxoSmithKline","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-GlaxoSmithKline"
"CIS-Grizzard","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Grizzard"
"CIS-Coty","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Coty"
"CIS-Reeds","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Reeds"
"CIS-Powerfleet","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Powerfleet"
"CIS-DeanFoods","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-DeanFoods"
"CIS-Jefferies","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Jefferies"
"CIS-InterNex","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-InterNex"
"CIS-Astellas","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Astellas"
"CIS-Tango","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Tango"
"CIS-Covance","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Covance"
"CIS-BectonDeckinson","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-BectonDeckinson"
"CIS-BoehringerIngelheim","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-BoehringerIngelheim"
"CIS-McKesson","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-McKesson"
"CIS-Nike","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Nike"
"CIS-Nexans","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Nexans"
"CIS-LW","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-LW"
"CIS-Schneider","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Schneider"
